Source_Path,Destination_Path,Academic_Year,Term_or_Type,Doc_Nature,Subject,Level,Is_Scanned,OCR_Applied,Confidence_Score
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21270.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2021\Trimestre_1\2021_Trimestre_1_1AM_21270.pdf,2021,Trimestre_1,Sujet,Subject_Unknown,1AM,False,False,85
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21272.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Examen\Year_Unknown_Examen_1AM_21272.pdf,Year_Unknown,Examen,Sujet,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21274.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Trimestre_1\Year_Unknown_Trimestre_1_1AM_21274.pdf,Year_Unknown,Trimestre_1,Sujet,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21276.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Exercices_Series\2017\Exercices_Series_2017_Sciences_1AM_21276.pdf,2017,Exercices_Series,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21277.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2020-2021\Examen\2020-2021_Examen_Sciences_1AM_21277.pdf,2020-2021,Examen,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21278.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2016\Trimestre_1\2016_Trimestre_1_Mathematiques_1AM_21278.pdf,2016,Trimestre_1,Sujet,Mathematiques,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21264.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21264.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21281.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2020-2021\Examen\2020-2021_Examen_Sciences_1AM_21281.pdf,2020-2021,Examen,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21279.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Examen\Year_Unknown_Examen_Sciences_1AM_21279.pdf,Year_Unknown,Examen,Sujet,Sciences,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\31519.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العربية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_31519.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21283.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2016-2017\Examen\2016-2017_Examen_Corrige_1AM_21283.pdf,2016-2017,Examen,Corrige,Subject_Unknown,1AM,False,False,85
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21275.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21275.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21280.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21280.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21284.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Cours_Resumes\Cours_Resumes_Sciences_1AM_21284.pdf,Year_Unknown,Cours_Resumes,Sujet,Sciences,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21267.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_Sciences_1AM_21267.pdf,Year_Unknown,Term_Unknown,Sujet,Sciences,1AM,True,False,25
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21285.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Trimestre_1\Year_Unknown_Trimestre_1_Corrige_1AM_21285.pdf,Year_Unknown,Trimestre_1,Corrige,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21288.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21288.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
